2008,1,17,50000.0,
2008,1,25,48974.0,
2008,2,4,48974.0,
2008,2,11,48810.0,
2008,2,29,48810.0,
2008,3,7,48800.0,
2008,4,15,48800.0,
2008,4,22,48823.0,
2008,4,25,48823.0,
2008,4,30,48898.0,
2008,5,2,48889.0,
2008,5,7,49143.0,
2008,5,9,49179.0,
2008,5,14,49183.0,
2008,5,21,49183.0,
2008,5,29,49076.0,
2008,6,9,49076.0,
2008,6,10,49062.0,
2008,6,16,48989.0,
2008,6,17,48959.0,
2008,6,18,48959.0,
2008,6,20,48945.0,
2008,6,25,49004.0,
2008,6,27,49040.0,
2008,7,9,49040.0,
2008,7,14,48990.0,
2008,7,15,48958.0,
2008,7,16,49134.0,
2008,7,21,49393.0,
2008,7,22,49596.0,
2008,7,24,49610.0,
2008,7,28,49519.0,
2008,7,31,49614.0,
2008,8,6,49614.0,
2008,8,12,49748.0,
2008,8,13,49705.0,
2008,8,19,49703.0,
2008,9,4,49703.0,
2008,9,5,49776.0,
2008,9,11,49698.0,
2008,9,12,49703.0,
2008,9,15,49703.0,
2008,9,17,45161.0,
2008,9,22,49656.0,
2008,9,23,49643.0,
2008,9,24,49633.0,
2008,9,29,49570.0,
2008,9,30,50344.0,
2008,10,1,50539.0,
2008,10,2,50333.0,
2008,10,6,49978.0,
2008,10,7,49742.0,
2008,10,8,49860.0,
2008,10,9,49368.0,
2008,10,10,50358.0,
2008,10,13,51891.0,
2008,10,14,53375.0,
2008,10,15,51732.0,
2008,10,16,52213.0,
2008,10,17,52275.0,
2008,10,20,52595.0,
2008,10,21,52391.0,
2008,10,22,51827.0,
2008,10,23,51749.0,
2008,10,24,51504.0,
2008,10,27,51044.0,
2008,10,28,52174.0,
2008,10,29,52088.0,
2008,10,30,52667.0,
2008,10,31,53090.0,
2008,11,3,53130.0,
2008,11,5,53038.0,
2008,11,6,52893.0,
2008,11,7,53188.0,
2008,11,10,52896.0,
2008,11,11,52453.0,
2008,11,12,51357.0,
2008,11,13,52734.0,
2008,11,14,51868.0,
2008,11,17,51072.0,
2008,11,18,50804.0,
2008,11,19,49902.0,
2008,11,20,46775.0,
2008,11,21,47296.0,
2008,11,24,51996.0,
2008,11,26,55743.0,
2008,11,28,56006.0,
